Date,Weekday,Holiday name,Holiday type,Where it is observed
,,,,
1-Jan,Wednesday,New Year's Day,National holiday,
6-Jan,Monday,Epiphany,Christian,
7-Jan,Tuesday,Orthodox Christmas Day,Orthodox,
13-Jan,Monday,Stephen Foster Memorial Day,Observance,
14-Jan,Tuesday,The Prophet's Birthday,Muslim,
14-Jan,Tuesday,Orthodox New Year,Orthodox,
16-Jan,Thursday,Tu Bishvat/Tu B'Shevat,Jewish holiday,
17-Jan,Friday,Lee Jackson Day,State holiday,Virginia
19-Jan,Sunday,Robert E Lee's Birthday,State holiday,Florida
19-Jan,Sunday,Confederate Memorial Day,State holiday,Texas
20-Jan,Monday,Martin Luther King Day,National holiday,
20-Jan,Monday,Robert E Lee's Birthday,State holiday,"AL, AR, MS"
20-Jan,Monday,Idaho Human Rights Day,State holiday,Idaho
20-Jan,Monday,Civil Rights Day,State holiday,"Arizona, New Hampshire"
29-Jan,Wednesday,Kansas Day,Observance,
31-Jan,Friday,Chinese New Year,Observance,
1-Feb,Saturday,National Freedom Day,Observance,
2-Feb,Sunday,Groundhog Day,Observance,
4-Feb,Tuesday,Rosa Parks Day,Local observance,"California, Ohio"
7-Feb,Friday,National Wear Red Day,Observance,
12-Feb,Wednesday,Lincoln's Birthday,State holiday,"CT, IL, MO, NY"
12-Feb,Wednesday,Lincoln's Birthday,Local observance,Florida
14-Feb,Friday,Valentine's Day,Observance,
15-Feb,Saturday,Susan B Anthony's Birthday,Local observance,"CA, FL, NY, WI"
17-Feb,Monday,Presidents' Day (Washington's Birthday),National holiday,
17-Feb,Monday,Daisy Gatson Bates Day,State holiday,Arkansas
28-Feb,Friday,Linus Pauling Day,Local observance,Oregon
1-Mar,Saturday,St. David's Day,Observance,
2-Mar,Sunday,Texas Independence Day,State holiday,Texas
3-Mar,Monday,Casimir Pulaski Day,State holiday,Illinois
3-Mar,Monday,Read Across America Day,Observance,
4-Mar,Tuesday,Shrove Tuesday/Mardi Gras,Local observance,Florida
4-Mar,Tuesday,Shrove Tuesday/Mardi Gras,State holiday,"Alabama, Louisiana"
4-Mar,Tuesday,Shrove Tuesday/Mardi Gras,Observance,
4-Mar,Tuesday,Town Meeting Day Vermont,State holiday,
5-Mar,Wednesday,Ash Wednesday,Christian,
7-Mar,Friday,Employee Appreciation Day,Observance,
9-Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time,
16-Mar,Sunday,Purim,Jewish holiday,
17-Mar,Monday,St. Patrick's Day,Observance,
17-Mar,Monday,Evacuation Day,State holiday,Massachusetts
20-Mar,Thursday,March equinox,Season,
25-Mar,Tuesday,Maryland Day,Local observance,Maryland
26-Mar,Wednesday,Prince Jonah Kuhio Kalanianaole Day,State holiday,Hawaii
31-Mar,Monday,Seward's Day,State holiday,Alaska
31-Mar,Monday,César Chávez Day,State holiday,"CA, CO*, TX*"
2-Apr,Wednesday,Pascua Florida Day,Local observance,Florida
6-Apr,Sunday,National Tartan Day,Observance,
13-Apr,Sunday,Palm Sunday,Christian,
13-Apr,Sunday,Thomas Jefferson's Birthday,Observance,
15-Apr,Tuesday,Passover (first day),Jewish holiday,
15-Apr,Tuesday,Tax Day,Observance,
15-Apr,Tuesday,Father Damien Day,Local observance,Hawaii
15-Apr,Tuesday,National Library Workers' Day,Observance,
16-Apr,Wednesday,Emancipation Day,State holiday,District of Columbia
17-Apr,Thursday,Maundy Thursday,Christian,
18-Apr,Friday,Orthodox Good Friday,Orthodox,
