,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0,1257,12/1/2014 00:00:28,12/1/2014 00:21:25,475,E 16 St & Irving Pl,40.73524276,-73.98758561,521,8 Ave & W 31 St,40.75044999,-73.99481051,16047,Customer,,0
1,275,12/1/2014 00:00:43,12/1/2014 00:05:18,498,Broadway & W 32 St,40.74854862,-73.98808416,546,E 30 St & Park Ave S,40.74444921,-73.98303529,18472,Subscriber,1988.0,2
2,450,12/1/2014 00:01:22,12/1/2014 00:08:52,444,Broadway & W 24 St,40.742354299999995,-73.98915076,434,9 Ave & W 18 St,40.74317449,-74.00366443,19589,Subscriber,1983.0,1
3,1126,12/1/2014 00:02:17,12/1/2014 00:21:03,475,E 16 St & Irving Pl,40.73524276,-73.98758561,521,8 Ave & W 31 St,40.75044999,-73.99481051,21142,Customer,,0
4,331,12/1/2014 00:02:21,12/1/2014 00:07:52,519,Pershing Square North,40.751872999999996,-73.97770600000001,527,E 33 St & 2 Ave,40.744023,-73.976056,18679,Subscriber,1986.0,2
5,162,12/1/2014 00:02:37,12/1/2014 00:05:19,229,Great Jones St,40.72743423,-73.99379025,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,21668,Subscriber,1973.0,1
6,155,12/1/2014 00:02:43,12/1/2014 00:05:18,229,Great Jones St,40.72743423,-73.99379025,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,16205,Subscriber,1986.0,1
7,493,12/1/2014 00:03:12,12/1/2014 00:11:25,305,E 58 St & 3 Ave,40.76095756,-73.96724467,160,E 37 St & Lexington Ave,40.748238,-73.978311,18234,Subscriber,1990.0,1
8,521,12/1/2014 00:03:16,12/1/2014 00:11:57,82,St James Pl & Pearl St,40.71117416,-74.00016545,2008,Little West St & 1 Pl,40.70569254,-74.01677685,17045,Subscriber,1982.0,1
9,349,12/1/2014 00:03:37,12/1/2014 00:09:26,470,W 20 St & 8 Ave,40.74345335,-74.00004031,491,E 24 St & Park Ave S,40.74096374,-73.98602213,18805,Subscriber,1983.0,1
10,8761,12/1/2014 00:04:48,12/1/2014 02:30:49,295,Pike St & E Broadway,40.71406667,-73.99293911,412,Forsyth St & Canal St,40.715815500000005,-73.99422366,21397,Customer,,0
