WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
94728,20140704,51,11,CLR, ,3, ,BR, ,70, ,21.1, ,69, ,20.3, ,68, ,20, ,93, ,3, ,VR , , , ,29.83, , , , , ,29.97, ,AA, , , ,30, 
94728,20140704,151,11,BKN014 BKN065 BKN100, ,4, ,BR, ,71, ,21.7, ,70, ,20.9, ,69, ,20.6, ,93, ,0, ,0, , , ,29.83, , , , , ,29.97, ,AA, , , ,30, 
94728,20140704,251,11,FEW007 BKN011 OVC100, ,4, ,BR, ,71, ,21.7, ,70, ,20.9, ,69, ,20.6, ,93, ,0, ,0, , , ,29.83, , , , , ,29.97, ,AA, , , ,30, 
94728,20140704,351,11,OVC008, ,3, ,BR, ,71, ,21.7, ,70, ,20.9, ,69, ,20.6, ,93, ,0, ,0, , , ,29.84, , , , , ,29.98, ,AA, , , ,30.01, 
94728,20140704,451,11,BKN006 OVC060, ,3, ,BR, ,71, ,21.7, ,70, ,20.9, ,69, ,20.6, ,93, ,0, ,0, , , ,29.84, , , , , ,29.98, ,AA, , , ,30.01, 
94728,20140704,551,11,FEW080, ,7, , , ,71, ,21.7, ,69, ,20.5, ,68, ,20, ,90, ,3, ,VR , , , ,29.83, , , , , ,29.97, ,AA, , , ,30, 
94728,20140704,651,11,FEW012 BKN047 BKN080, ,9, , , ,71, ,21.7, ,69, ,20.5, ,68, ,20, ,90, ,7, ,VR , , , ,29.84, , , , , ,29.98, ,AA, , , ,30.01, 
94728,20140704,751,11,OVC049, ,10, , , ,70, ,21.1, ,66, ,19, ,64, ,17.8, ,81, ,6, ,VR , , , ,29.84, , , , , ,29.99, ,AA, , , ,30.01, 
94728,20140704,851,11,SCT046, ,10, , , ,71, ,21.7, ,66, ,18.8, ,63, ,17.2, ,76, ,5, ,VR , , , ,29.82, , , , , ,29.96, ,AA, , , ,29.99, 
94728,20140704,951,11,CLR, ,10, , , ,73, ,22.8, ,67, ,19.2, ,63, ,17.2, ,71, ,7, ,VR , , , ,29.81, , , , , ,29.96, ,AA, , , ,29.98, 
94728,20140704,1051,11,FEW026 BKN100, ,10, , , ,74, ,23.3, ,67, ,19.4, ,63, ,17.2, ,69, ,8, ,60, ,21, ,29.81, , , , , ,29.95, ,AA, , , ,29.98, 
94728,20140704,1151,11,FEW026 FEW050 OVC075, ,10, , , ,72, ,22.2, ,65, ,18.4, ,61, ,16.1, ,68, ,8, ,40, ,18, ,29.8, , , , , ,29.94, ,AA, ,  T, ,29.97, 
94728,20140704,1251,11,SCT047 BKN055 OVC085, ,7, ,#NAME?, ,67, ,19.4, ,65, ,18, ,63, ,17.2, ,87, ,9, ,360, , , ,29.79, , , , , ,29.93, ,AA, ,0.04, ,29.96, 
94728,20140704,1351,11,BKN011 OVC016, ,2, ,#NAME?, ,67, ,19.4, ,65, ,18.4, ,64, ,17.8, ,90, ,5, ,VR , ,18, ,29.78, , , , , ,29.92, ,AA, ,0.06, ,29.95, 
94728,20140704,1451,11,BKN013 OVC046, ,7, ,#NAME?, ,67, ,19.4, ,65, ,18, ,63, ,17.2, ,87, ,8, ,50, ,22, ,29.78, , , , , ,29.92, ,AA, ,0.02, ,29.95, 
94728,20140704,1551,11,FEW010 BKN013 OVC050, ,9, , , ,66, ,18.9, ,64, ,17.8, ,63, ,17.2, ,90, ,6, ,VR , , , ,29.76, , , , , ,29.91, ,AA, ,0.02, ,29.93, 
94728,20140704,1651,11,FEW018 SCT042 BKN095, ,10, , , ,69, ,20.6, ,65, ,18.4, ,63, ,17.2, ,81, ,0, ,0, , , ,29.76, , , , , ,29.9, ,AA, , , ,29.93, 
94728,20140704,1751,11,OVC050, ,10, , , ,70, ,21.1, ,63, ,17.4, ,59, ,15, ,68, ,M, ,M, , , ,29.77, , , , , ,29.91, ,AA, , , ,29.94, 
94728,20140704,1851,11,OVC060, ,10, , , ,71, ,21.7, ,61, ,16.1, ,54, ,12.2, ,55, ,6, ,VR , , , ,29.78, , , , , ,29.92, ,AA, , , ,29.95, 
94728,20140704,1951,11,SCT070, ,10, , , ,70, ,21.1, ,60, ,15.4, ,52, ,11.1, ,53, ,7, ,VR , ,20, ,29.8, , , , , ,29.95, ,AA, , , ,29.97, 
94728,20140704,2051,11,CLR, ,10, , , ,69, ,20.6, ,59, ,15.1, ,52, ,11.1, ,55, ,8, ,300, , , ,29.83, , , , , ,29.98, ,AA, , , ,30, 
94728,20140704,2151,11,CLR, ,10, , , ,68, ,20, ,59, ,14.9, ,52, ,11.1, ,57, ,9, ,300, ,20, ,29.85, , , , , ,29.99, ,AA, , , ,30.02, 
94728,20140704,2251,11,CLR, ,10, , , ,67, ,19.4, ,58, ,14.2, ,50, ,10, ,55, ,7, ,VR , ,22, ,29.87, , , , , ,30.01, ,AA, , , ,30.04, 
94728,20140704,2351,11,CLR, ,10, , , ,67, ,19.4, ,57, ,13.9, ,49, ,9.4, ,53, ,11, ,300, ,22, ,29.88, , , , , ,30.02, ,AA, , , ,30.05,
