WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
94728,20140629,0051,11,CLR, ,10.00, , , ,70, ,21.1, ,60, ,15.7, ,53, ,11.7, , 55, , 3, ,170, , , ,30.11, , , , , ,30.25, ,AA, , , ,30.28, 
94728,20140629,0151,11,CLR, ,10.00, , , ,70, ,21.1, ,60, ,15.4, ,52, ,11.1, , 53, , 0, ,000, , , ,30.11, , , , , ,30.25, ,AA, , , ,30.28, 
94728,20140629,0251,11,CLR, ,10.00, , , ,70, ,21.1, ,60, ,15.4, ,52, ,11.1, , 53, , 5, ,240, , , ,30.11, , , , , ,30.25, ,AA, , , ,30.28, 
94728,20140629,0351,11,CLR, ,10.00, , , ,69, ,20.6, ,60, ,15.7, ,54, ,12.2, , 59, , 0, ,000, , , ,30.11, , , , , ,30.25, ,AA, , , ,30.28, 
94728,20140629,0451,11,CLR, ,10.00, , , ,68, ,20.0, ,62, ,16.4, ,57, ,13.9, , 68, , 3, ,300, , , ,30.12, , , , , ,30.26, ,AA, , , ,30.29, 
94728,20140629,0551,11,CLR, ,10.00, , , ,70, ,21.1, ,62, ,16.5, ,56, ,13.3, , 61, , 0, ,000, , , ,30.12, , , , , ,30.26, ,AA, , , ,30.29, 
94728,20140629,0651,11,CLR, ,10.00, , , ,73, ,22.8, ,63, ,17.4, ,57, ,13.9, , 57, , 0, ,000, , , ,30.12, , , , , ,30.25, ,AA, , , ,30.29, 
94728,20140629,0751,11,CLR, ,10.00, , , ,75, ,23.9, ,65, ,18.4, ,59, ,15.0, , 58, , 0, ,000, , , ,30.11, , , , , ,30.25, ,AA, , , ,30.28, 
94728,20140629,0851,11,CLR, ,10.00, , , ,77, ,25.0, ,66, ,19.1, ,60, ,15.6, , 56, , 0, ,000, , , ,30.09, , , , , ,30.23, ,AA, , , ,30.26, 
94728,20140629,0951,11,CLR, ,10.00, , , ,80, ,26.7, ,68, ,20.0, ,61, ,16.1, , 52, , 5, ,250, , , ,30.08, , , , , ,30.22, ,AA, , , ,30.25, 
94728,20140629,1051,11,CLR, ,10.00, , , ,81, ,27.2, ,67, ,19.6, ,59, ,15.0, , 47, , 3, ,VR , , , ,30.07, , , , , ,30.21, ,AA, , , ,30.24, 
94728,20140629,1151,11,CLR, ,10.00, , , ,82, ,27.8, ,70, ,20.9, ,63, ,17.2, , 53, , 6, ,170, , , ,30.06, , , , , ,30.20, ,AA, , , ,30.23, 
94728,20140629,1251,11,FEW070, ,10.00, , , ,81, ,27.2, ,68, ,20.2, ,61, ,16.1, , 51, , 3, ,VR , , , ,30.05, , , , , ,30.19, ,AA, , , ,30.22, 
94728,20140629,1351,11,CLR, ,10.00, , , ,80, ,26.7, ,67, ,19.4, ,59, ,15.0, , 49, , 6, ,VR , , , ,30.04, , , , , ,30.18, ,AA, , , ,30.21, 
94728,20140629,1451,11,CLR, ,10.00, , , ,80, ,26.7, ,65, ,18.5, ,56, ,13.3, , 44, ,M, ,M, , , ,30.03, , , , , ,30.17, ,AA, , , ,30.20, 
94728,20140629,1551,11,CLR, ,10.00, , , ,78, ,25.6, ,65, ,18.1, ,56, ,13.3, , 47, , 6, ,VR , , , ,30.02, , , , , ,30.16, ,AA, , , ,30.19, 
94728,20140629,1651,11,CLR, ,10.00, , , ,77, ,25.0, ,64, ,17.9, ,56, ,13.3, , 48, , 5, ,VR , , , ,30.00, , , , , ,30.14, ,AA, , , ,30.17, 
94728,20140629,1751,11,FEW090, ,10.00, , , ,75, ,23.9, ,63, ,17.3, ,55, ,12.8, , 50, , 5, ,VR , , , ,30.00, , , , , ,30.14, ,AA, , , ,30.17, 
94728,20140629,1851,11,FEW080, ,10.00, , , ,74, ,23.3, ,61, ,16.2, ,52, ,11.1, , 46, , 0, ,000, , , ,29.99, , , , , ,30.13, ,AA, , , ,30.16, 
94728,20140629,1951,11,CLR, ,10.00, , , ,73, ,22.8, ,60, ,15.5, ,50, ,10.0, , 44, , 3, ,VR , , , ,29.99, , , , , ,30.13, ,AA, , , ,30.16, 
94728,20140629,2051,11,CLR, ,10.00, , , ,73, ,22.8, ,60, ,15.5, ,50, ,10.0, , 44, , 3, ,VR , , , ,29.99, , , , , ,30.13, ,AA, , , ,30.16, 
94728,20140629,2151,11,CLR, ,10.00, , , ,74, ,23.3, ,60, ,15.7, ,50, ,10.0, , 43, , 0, ,000, , , ,29.99, , , , , ,30.13, ,AA, , , ,30.16, 
94728,20140629,2251,11,CLR, ,10.00, , , ,73, ,22.8, ,60, ,15.5, ,50, ,10.0, , 44, , 3, ,200, , , ,29.99, , , , , ,30.13, ,AA, , , ,30.16, 
94728,20140629,2351,11,CLR, ,10.00, , , ,72, ,22.2, ,61, ,15.8, ,52, ,11.1, , 50, , 3, ,VR , , , ,29.98, , , , , ,30.12, ,AA, , , ,30.15
